ENSMUSG00000000001.4	chr3	108107280	108146146	B=8.91;NK=17.10;T_CD4=11.89;T_CD8=8.23;
ENSMUSG00000000003.11	chrX	77837901	77853623	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
ENSMUSG00000000028.10	chr16	18780447	18811987	B=2.22;NK=1.22;T_CD4=0.97;T_CD8=1.20;
ENSMUSG00000000031.11	chr7	142575529	142578143	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.28;
ENSMUSG00000000037.12	chrX	161117193	161258213	B=0.00;NK=0.26;T_CD4=0.00;T_CD8=0.00;
ENSMUSG00000000049.7	chr11	108343354	108414396	B=0.00;NK=0.00;T_CD4=0.90;T_CD8=0.00;
ENSMUSG00000000056.7	chr11	121237253	121255856	B=10.01;NK=1.93;T_CD4=7.74;T_CD8=6.85;
ENSMUSG00000000058.6	chr6	17281185	17289115	B=0.00;NK=0.28;T_CD4=0.00;T_CD8=0.06;
ENSMUSG00000000078.6	chr13	5861489	5870393	B=13.16;NK=47.41;T_CD4=18.21;T_CD8=16.65;
ENSMUSG00000000085.12	chr4	120405281	120530186	B=23.86;NK=33.21;T_CD4=9.25;T_CD8=16.11;
ENSMUSG00000000088.6	chr9	57521232	57532424	B=142.36;NK=221.90;T_CD4=175.75;T_CD8=169.52;
ENSMUSG00000000093.6	chr11	85832551	85841948	B=0.19;NK=0.00;T_CD4=0.00;T_CD8=0.18;
ENSMUSG00000000094.8	chr11	85886422	85916097	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
ENSMUSG00000000103.8	chrY	2106015	2170409	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
ENSMUSG00000000120.6	chr11	95568818	95587735	B=0.71;NK=0.00;T_CD4=0.00;T_CD8=0.09;
ENSMUSG00000000125.5	chr11	103774150	103817957	B=0.00;NK=0.00;T_CD4=0.08;T_CD8=0.00;
ENSMUSG00000000126.7	chr11	59306928	59333552	B=0.00;NK=0.00;T_CD4=0.00;T_CD8=0.00;
ENSMUSG00000000127.10	chr17	63896018	64139494	B=0.00;NK=1.29;T_CD4=0.00;T_CD8=0.00;
ENSMUSG00000000131.11	chr7	126101715	126200501	B=102.32;NK=63.68;T_CD4=83.30;T_CD8=57.45;
ENSMUSG00000000134.13	chrX	7762560	7775202	B=17.99;NK=35.15;T_CD4=16.95;T_CD8=12.17;
ENSMUSG00000000142.11	chr11	108920349	108950783	B=0.00;NK=1.47;T_CD4=11.33;T_CD8=5.35;
ENSMUSG00000000148.13	chr5	140705011	140719379	B=4.41;NK=5.89;T_CD4=9.07;T_CD8=6.14;
